       p         nwds        bytes        nloop         RTT (s)
       0            1            8         1000    7.770060e-07
       0            2           16         1000    7.763480e-07
       0            3           24         1000    8.057260e-07
       0            4           32         1000    8.277620e-07
       0            5           40         1000    8.277360e-07
       0            6           48         1000    8.218190e-07
       0            7           56         1000    9.173750e-07
       0            8           64         1000    9.072090e-07
       0            9           72         1000    9.264580e-07
       0           10           80         1000    9.215340e-07
       0           11           88         1000    8.821070e-07
       0           12           96         1000    8.891210e-07
       0           13          104         1000    9.070790e-07
       0           14          112         1000    9.019960e-07
       0           15          120         1000    9.213470e-07
       0           16          128         1000    9.275030e-07
       0           17          136         1000    9.347860e-07
       0           18          144         1000    9.287410e-07
       0           19          152         1000    9.172600e-07
       0           20          160         1000    9.208350e-07
       0           21          168         1000    9.297010e-07
       0           22          176         1000    9.326220e-07
       0           23          184         1000    1.459174e-06
       0           24          192         1000    1.449707e-06
       0           25          200         1000    1.451801e-06
       0           26          208         1000    1.440926e-06
       0           27          216         1000    1.413889e-06
       0           28          224         1000    1.424878e-06
       0           29          232         1000    1.495840e-06
       0           30          240         1000    1.471053e-06
       0           31          248         1000    1.480978e-06
       0           32          256         1000    1.477481e-06
       0           33          264         1000    1.434898e-06
       0           34          272         1000    1.432378e-06
       0           35          280         1000    1.440626e-06
       0           36          288         1000    1.434810e-06
       0           37          296         1000    1.527349e-06
       0           38          304         1000    1.519038e-06
       0           39          312         1000    1.504931e-06
       0           40          320         1000    1.506302e-06
       0           41          328         1000    1.474676e-06
       0           42          336         1000    1.470143e-06
       0           43          344         1000    1.472834e-06
       0           44          352         1000    1.474368e-06
       0           45          360         1000    1.546060e-06
       0           46          368         1000    1.546373e-06
       0           47          376         1000    1.534616e-06
       0           48          384         1000    1.536037e-06
       0           49          392         1000    1.491699e-06
       0           50          400         1000    1.492746e-06
       0           51          408         1000    1.491604e-06
       0           52          416         1000    1.490001e-06
       0           53          424         1000    1.551523e-06
       0           54          432         1000    1.564975e-06
       0           55          440         1000    1.557459e-06
       0           56          448         1000    1.546424e-06
       0           57          456         1000    1.510259e-06
       0           58          464         1000    1.519304e-06
       0           59          472         1000    1.514729e-06
       0           60          480         1000    1.519023e-06
       0           61          488         1000    1.528212e-06
       0           62          496         1000    1.538595e-06
       0           64          512         1000    1.542082e-06
