       p         nwds        bytes        nloop         RTT (s)
       0            1            8         1000    1.140000e-07
       0            2           16         1000    1.130000e-07
       0            3           24         1000    1.150000e-07
       0            4           32         1000    1.140000e-07
       0            5           40         1000    1.130000e-07
       0            6           48         1000    1.140000e-07
       0            7           56         1000    1.140000e-07
       0            8           64         1000    1.140000e-07
       0            9           72         1000    1.140000e-07
       0           10           80         1000    1.210000e-07
       0           11           88         1000    1.120000e-07
       0           12           96         1000    1.130000e-07
       0           13          104         1000    1.130000e-07
       0           14          112         1000    1.120000e-07
       0           15          120         1000    1.120000e-07
       0           16          128         1000    1.130000e-07
       0           17          136         1000    1.130000e-07
       0           18          144         1000    1.130000e-07
       0           19          152         1000    1.130000e-07
       0           20          160         1000    1.130000e-07
       0           21          168         1000    1.130000e-07
       0           22          176         1000    1.120000e-07
       0           23          184         1000    1.130000e-07
       0           24          192         1000    1.130000e-07
       0           25          200         1000    1.120000e-07
       0           26          208         1000    1.130000e-07
       0           27          216         1000    1.130000e-07
       0           28          224         1000    1.140000e-07
       0           29          232         1000    1.120000e-07
       0           30          240         1000    1.120000e-07
       0           31          248         1000    1.130000e-07
       0           32          256         1000    1.130000e-07
       0           33          264         1000    1.430000e-07
       0           34          272         1000    1.410000e-07
       0           35          280         1000    1.440000e-07
       0           36          288         1000    1.420000e-07
       0           37          296         1000    1.420000e-07
       0           38          304         1000    1.410000e-07
       0           39          312         1000    1.410000e-07
       0           40          320         1000    1.430000e-07
       0           41          328         1000    1.410000e-07
       0           42          336         1000    1.420000e-07
       0           43          344         1000    1.410000e-07
       0           44          352         1000    1.430000e-07
       0           45          360         1000    1.430000e-07
       0           46          368         1000    1.420000e-07
       0           47          376         1000    1.430000e-07
       0           48          384         1000    1.470000e-07
       0           49          392         1000    1.050000e-07
       0           50          400         1000    1.060000e-07
       0           51          408         1000    1.060000e-07
       0           52          416         1000    1.070000e-07
       0           53          424         1000    1.060000e-07
       0           54          432         1000    1.060000e-07
       0           55          440         1000    1.060000e-07
       0           56          448         1000    1.070000e-07
       0           57          456         1000    1.060000e-07
       0           58          464         1000    1.060000e-07
       0           59          472         1000    1.060000e-07
       0           60          480         1000    1.060000e-07
       0           61          488         1000    1.060000e-07
       0           62          496         1000    1.060000e-07
       0           64          512         1000    1.080000e-07
       0           66          528         1000    1.090000e-07
       0           68          544         1000    1.070000e-07
       0           70          560         1000    1.080000e-07
       0           72          576         1000    1.090000e-07
       0           74          592         1000    1.070000e-07
       0           76          608         1000    1.070000e-07
       0           78          624         1000    1.080000e-07
       0           80          640         1000    1.090000e-07
       0           82          656         1000    1.090000e-07
       0           84          672         1000    1.070000e-07
       0           86          688         1000    1.080000e-07
       0           88          704         1000    1.070000e-07
       0           90          720         1000    1.080000e-07
       0           92          736         1000    1.080000e-07
       0           94          752         1000    1.090000e-07
       0           96          768         1000    1.090000e-07
       0           98          784         1000    1.080000e-07
       0          100          800          980    1.091837e-07
       0          102          816          961    1.082206e-07
       0          104          832          943    1.092259e-07
       0          106          848          925    1.081081e-07
       0          108          864          909    1.078108e-07
       0          110          880          892    1.076233e-07
       0          112          896          877    1.083238e-07
       0          114          912          862    1.078886e-07
       0          116          928          847    1.074380e-07
       0          118          944          833    1.080432e-07
       0          120          960          819    1.489621e-07
       0          122          976          806    1.848635e-07
       0          124          992          793    1.904161e-07
       0          127         1016          775    1.909677e-07
       0          130         1040          757    1.902246e-07
       0          133         1064          740    1.891892e-07
       0          136         1088          724    1.906077e-07
       0          139         1112          709    1.889986e-07
       0          142         1136          694    1.902017e-07
       0          145         1160          680    1.911765e-07
       0          148         1184          666    1.906907e-07
       0          151         1208          653    1.898928e-07
       0          154         1232          641    1.903276e-07
       0          157         1256          628    1.894904e-07
       0          160         1280          617    1.896272e-07
       0          163         1304          606    1.897690e-07
       0          166         1328          595    1.899160e-07
       0          169         1352          584    1.900685e-07
       0          172         1376          574    1.898955e-07
       0          175         1400          564    1.897163e-07
       0          178         1424          555    1.963964e-07
       0          181         1448          546    1.904762e-07
       0          184         1472          537    1.918063e-07
       0          187         1496          529    1.909263e-07
       0          191         1528          518    1.891892e-07
       0          195         1560          507    1.913215e-07
       0          199         1592          497    1.911469e-07
       0          203         1624          487    1.909651e-07
       0          207         1656          478    1.924686e-07
       0          211         1688          469    1.918977e-07
       0          215         1720          460    1.913043e-07
       0          219         1752          452    1.902655e-07
       0          223         1784          444    1.914414e-07
       0          227         1816          436    1.903670e-07
       0          231         1848          429    1.888112e-07
       0          235         1880          421    1.900238e-07
       0          239         1912          414    1.908213e-07
       0          243         1944          408    1.887255e-07
       0          247         1976          401    1.895262e-07
       0          251         2008          395    1.898734e-07
       0          256         2048          387    1.912145e-07
       0          261         2088          380    1.894737e-07
       0          266         2128          373    1.930295e-07
       0          271         2168          366    1.912568e-07
       0          276         2208          359    1.922006e-07
       0          281         2248          353    1.926346e-07
       0          286         2288          347    1.902017e-07
       0          291         2328          341    1.906158e-07
       0          296         2368          335    1.910448e-07
       0          301         2408          330    1.909091e-07
       0          306         2448          324    1.913580e-07
       0          311         2488          319    1.880878e-07
       0          316         2528          314    2.038217e-07
       0          322         2576          308    1.915584e-07
       0          328         2624          303    1.914191e-07
       0          334         2672          297    1.885522e-07
       0          340         2720          292    1.883562e-07
       0          346         2768          287    1.881533e-07
       0          352         2816          282    1.879433e-07
       0          358         2864          277    1.913357e-07
       0          364         2912          273    1.904762e-07
       0          370         2960          268    1.940299e-07
       0          376         3008          264    1.893939e-07
       0          383         3064          259    1.891892e-07
       0          390         3120          255    1.882353e-07
       0          397         3176          250    1.920000e-07
       0          404         3232          246    1.910569e-07
       0          411         3288          242    1.900826e-07
       0          418         3344          238    1.890756e-07
       0          425         3400          234    1.923077e-07
       0          432         3456          230    1.913043e-07
       0          439         3512          226    1.902655e-07
       0          447         3576          222    1.891892e-07
       0          455         3640          218    1.926606e-07
       0          463         3704          215    1.906977e-07
       0          471         3768          211    1.895735e-07
       0          479         3832          207    1.932367e-07
       0          487         3896          204    1.911765e-07
       0          495         3960          201    1.940299e-07
       0          503         4024          198    1.919192e-07
       0          512         4096          194    1.907216e-07
       0          521         4168          191    1.884817e-07
       0          530         4240          187    1.925134e-07
       0          539         4312          184    1.902174e-07
       0          548         4384          181    1.933702e-07
       0          557         4456          178    1.910112e-07
       0          566         4528          176    1.931818e-07
       0          576         4608          173    1.907514e-07
       0          586         4688          170    1.882353e-07
       0          596         4768          167    1.916168e-07
       0          606         4848          164    1.890244e-07
       0          616         4928          161    1.863354e-07
       0          626         5008          159    1.886792e-07
       0          637         5096          156    1.923077e-07
       0          648         5184          153    1.895425e-07
       0          659         5272          151    1.920530e-07
       0          670         5360          148    1.891892e-07
       0          681         5448          146    1.917808e-07
       0          692         5536          144    1.944444e-07
       0          704         5632          141    1.914894e-07
       0          716         5728          139    1.942446e-07
       0          728         5824          136    1.911765e-07
       0          740         5920          134    1.940299e-07
       0          752         6016          132    1.893939e-07
       0          765         6120          130    1.923077e-07
       0          778         6224          128    1.875000e-07
       0          791         6328          126    1.825397e-07
       0          804         6432          124    1.854839e-07
       0          817         6536          122    1.885246e-07
       0          831         6648          120    1.916667e-07
       0          845         6760          118    1.949153e-07
       0          859         6872          116    1.982759e-07
       0          873         6984          114    1.929825e-07
       0          887         7096          112    2.053571e-07
       0          902         7216          110    1.909091e-07
       0          917         7336          108    1.944444e-07
       0          932         7456          107    1.869159e-07
       0          947         7576          105    1.904762e-07
       0          963         7704          103    1.941748e-07
       0          979         7832          101    1.980198e-07
       0          995         7960          100    1.900000e-07
       0         1011         8088           98    1.938776e-07
       0         1028         8224           97    1.958763e-07
       0         1045         8360           95    1.894737e-07
       0         1062         8496           93    1.827957e-07
       0         1080         8640           92    1.956522e-07
       0         1098         8784           90    1.888889e-07
       0         1116         8928           89    1.910112e-07
       0         1134         9072           88    1.931818e-07
       0         1153         9224           86    1.976744e-07
       0         1172         9376           85    1.882353e-07
       0         1191         9528           83    1.927711e-07
       0         1211         9688           82    1.951220e-07
       0         1231         9848           81    1.975309e-07
       0         1251        10008           79    1.898734e-07
       0         1272        10176           78    1.923077e-07
       0         1293        10344           77    1.948052e-07
       0         1314        10512           75    2.000000e-07
       0         1336        10688           74    1.891892e-07
       0         1358        10864           73    1.917808e-07
       0         1380        11040           72    1.944444e-07
       0         1403        11224           71    1.971831e-07
       0         1426        11408           70    2.000000e-07
       0         1449        11592           68    1.911765e-07
       0         1473        11784           67    1.791045e-07
       0         1497        11976           66    1.818182e-07
       0         1521        12168           65    1.846154e-07
       0         1546        12368           64    1.875000e-07
