       p         nwds        bytes        nloop         RTT (s)
       0            1            8         1000    1.468346e-06
       0            2           16         1000    2.162624e-06
       0            3           24         1000    1.622226e-06
       0            4           32         1000    1.625122e-06
       0            5           40         1000    1.691617e-06
       0            6           48         1000    1.640521e-06
       0            7           56         1000    1.985852e-06
       0            8           64         1000    1.954081e-06
       0            9           72         1000    1.971033e-06
       0           10           80         1000    1.962748e-06
       0           11           88         1000    1.980211e-06
       0           12           96         1000    1.958410e-06
       0           13          104         1000    1.959011e-06
       0           14          112         1000    2.018212e-06
       0           15          120         1000    1.965253e-06
       0           16          128         1000    2.006009e-06
       0           17          136         1000    2.020106e-06
       0           18          144         1000    2.009035e-06
       0           19          152         1000    2.022340e-06
       0           20          160         1000    2.009756e-06
       0           21          168         1000    2.061785e-06
       0           22          176         1000    2.023753e-06
       0           23          184         1000    2.750842e-06
       0           24          192         1000    2.722579e-06
       0           25          200         1000    2.757545e-06
       0           26          208         1000    2.718251e-06
       0           27          216         1000    2.765019e-06
       0           28          224         1000    2.703884e-06
       0           29          232         1000    2.811156e-06
       0           30          240         1000    2.795446e-06
       0           31          248         1000    3.445110e-06
       0           32          256         1000    2.817378e-06
       0           33          264         1000    2.820103e-06
       0           34          272         1000    2.841743e-06
       0           35          280         1000    2.783754e-06
       0           36          288         1000    2.816305e-06
       0           37          296         1000    2.857854e-06
       0           38          304         1000    2.815174e-06
       0           39          312         1000    2.861551e-06
       0           40          320         1000    2.808270e-06
       0           41          328         1000    2.869897e-06
       0           42          336         1000    2.844048e-06
       0           43          344         1000    2.850250e-06
       0           44          352         1000    2.855900e-06
       0           45          360         1000    2.897418e-06
       0           46          368         1000    2.913709e-06
       0           47          376         1000    2.878183e-06
       0           48          384         1000    2.918087e-06
       0           49          392         1000    2.891317e-06
       0           50          400         1000    2.883873e-06
       0           51          408         1000    2.918708e-06
       0           52          416         1000    2.944196e-06
       0           53          424         1000    2.906296e-06
       0           54          432         1000    2.942673e-06
       0           55          440         1000    3.623296e-06
       0           56          448         1000    2.940780e-06
       0           57          456         1000    2.934438e-06
       0           58          464         1000    2.939127e-06
       0           59          472         1000    2.950739e-06
       0           60          480         1000    2.969474e-06
       0           61          488         1000    2.995654e-06
       0           62          496         1000    3.003508e-06
       0           64          512         1000    3.168880e-06
       0           66          528         1000    2.955438e-06
       0           68          544         1000    2.934869e-06
       0           70          560         1000    2.920522e-06
       0           72          576         1000    3.126229e-06
       0           74          592         1000    2.966048e-06
       0           76          608         1000    2.955959e-06
       0           78          624         1000    2.969464e-06
       0           80          640         1000    2.969435e-06
       0           82          656         1000    2.965277e-06
       0           84          672         1000    2.984152e-06
       0           86          688         1000    3.036831e-06
       0           88          704         1000    3.024669e-06
       0           90          720         1000    3.108616e-06
       0           92          736         1000    3.046169e-06
       0           94          752         1000    3.065064e-06
       0           96          768         1000    3.081896e-06
       0           98          784         1000    3.090361e-06
       0          100          800          980    3.832384e-06
       0          102          816          961    3.108927e-06
       0          104          832          943    3.096862e-06
       0          106          848          925    3.111852e-06
       0          108          864          909    3.139655e-06
       0          110          880          892    3.149139e-06
       0          112          896          877    3.179479e-06
       0          114          912          862    3.163907e-06
       0          116          928          847    3.205295e-06
       0          118          944          833    3.219306e-06
       0          120          960          819    3.263805e-06
       0          122          976          806    3.235973e-06
       0          124          992          793    3.256866e-06
       0          127         1016          775    3.270600e-06
       0          130         1040          757    3.272678e-06
       0          133         1064          740    3.353154e-06
       0          136         1088          724    3.598257e-06
       0          139         1112          709    3.329828e-06
       0          142         1136          694    3.336199e-06
       0          145         1160          680    3.348618e-06
       0          148         1184          666    3.350350e-06
       0          151         1208          653    3.396214e-06
       0          154         1232          641    3.381816e-06
       0          157         1256          628    3.441468e-06
       0          160         1280          617    3.439998e-06
       0          163         1304          606    3.492437e-06
       0          166         1328          595    3.487360e-06
       0          169         1352          584    3.505353e-06
       0          172         1376          574    3.518145e-06
       0          175         1400          564    3.538936e-06
       0          178         1424          555    3.571377e-06
       0          181         1448          546    3.551764e-06
       0          184         1472          537    3.587559e-06
       0          187         1496          529    3.584975e-06
       0          191         1528          518    3.624666e-06
       0          195         1560          507    3.556168e-06
       0          199         1592          497    3.649956e-06
       0          203         1624          487    3.695505e-06
       0          207         1656          478    3.691891e-06
       0          211         1688          469    3.646102e-06
