       p         nwds        bytes        nloop         RTT (s)
       0          576         4608          173    5.437815e-06
       0          586         4688          170    5.645753e-06
       0          596         4768          167    5.695461e-06
       0          606         4848          164    5.749799e-06
       0          616         4928          161    5.752453e-06
       0          626         5008          159    5.802881e-06
       0          637         5096          156    5.866372e-06
       0          648         5184          153    5.980477e-06
       0          659         5272          151    5.717987e-06
       0          670         5360          148    5.993655e-06
       0          681         5448          146    5.995815e-06
       0          692         5536          144    6.072549e-06
       0          704         5632          141    6.123099e-06
       0          716         5728          139    6.206007e-06
       0          728         5824          136    6.874574e-06
       0          740         5920          134    6.394209e-06
       0          752         6016          132    6.781492e-06
       0          765         6120          130    6.495008e-06
       0          778         6224          128    6.251695e-06
       0          791         6328          126    6.552270e-06
       0          804         6432          124    6.556702e-06
       0          817         6536          122    6.671336e-06
       0          831         6648          120    6.744533e-06
       0          845         6760          118    6.791771e-06
       0          859         6872          116    6.850405e-06
       0          873         6984          114    6.889904e-06
       0          887         7096          112    7.005786e-06
       0          902         7216          110    7.111855e-06
       0          917         7336          108    7.258028e-06
       0          932         7456          107    7.277262e-06
       0          947         7576          105    7.227229e-06
       0          963         7704          103    7.317282e-06
       0          979         7832          101    7.435891e-06
       0          995         7960          100    7.578980e-06
       0         1011         8088           98    7.576000e-06
       0         1028         8224           97    9.669763e-06
       0         1045         8360           95    9.767558e-06
       0         1062         8496           93    9.781763e-06
       0         1080         8640           92    9.875348e-06
       0         1098         8784           90    9.911678e-06
       0         1116         8928           89    1.005511e-05
       0         1134         9072           88    1.015002e-05
       0         1153         9224           86    1.047508e-05
       0         1172         9376           85    1.055907e-05
       0         1191         9528           83    1.049760e-05
       0         1211         9688           82    1.283539e-05
       0         1231         9848           81    1.043669e-05
       0         1251        10008           79    1.050232e-05
       0         1272        10176           78    1.066265e-05
       0         1293        10344           77    1.143153e-05
       0         1314        10512           75    1.073488e-05
       0         1336        10688           74    1.091204e-05
       0         1358        10864           73    1.084989e-05
       0         1380        11040           72    1.097178e-05
       0         1403        11224           71    1.101370e-05
       0         1426        11408           70    1.135181e-05
       0         1449        11592           68    1.123146e-05
       0         1473        11784           67    1.148282e-05
       0         1497        11976           66    1.141877e-05
       0         1521        12168           65    1.150289e-05
       0         1546        12368           64    1.154753e-05
       0         1571        12568           63    1.173148e-05
       0         1597        12776           62    1.181339e-05
       0         1623        12984           61    1.190044e-05
       0         1649        13192           60    1.199392e-05
       0         1676        13408           59    1.198003e-05
       0         1703        13624           58    1.212334e-05
       0         1731        13848           57    1.228647e-05
       0         1759        14072           56    1.231748e-05
       0         1788        14304           55    1.252358e-05
       0         1817        14536           54    1.211856e-05
       0         1847        14776           54    1.279483e-05
       0         1877        15016           53    1.294325e-05
       0         1908        15264           52    1.290296e-05
       0         1939        15512           51    1.320310e-05
       0         1971        15768           50    1.305500e-05
       0         2003        16024           49    1.327622e-05
       0         2036        16288           49    1.334533e-05
       0         2069        16552           48    1.334263e-05
       0         2103        16824           47    1.354189e-05
       0         2137        17096           46    1.373893e-05
       0         2172        17376           45    1.485731e-05
       0         2207        17656           45    1.414533e-05
       0         2243        17944           44    1.394489e-05
       0         2279        18232           43    1.416647e-05
       0         2316        18528           43    1.419837e-05
       0         2354        18832           42    1.466740e-05
       0         2392        19136           41    1.480644e-05
       0         2431        19448           41    1.464810e-05
       0         2470        19760           40    1.482242e-05
       0         2510        20080           39    1.499054e-05
       0         2551        20408           39    1.521636e-05
       0         2592        20736           38    1.557224e-05
       0         2634        21072           37    1.576078e-05
       0         2677        21416           37    1.557581e-05
       0         2720        21760           36    1.591972e-05
       0         2764        22112           36    1.599014e-05
       0         2809        22472           35    1.624517e-05
       0         2854        22832           35    1.639403e-05
       0         2900        23200           34    1.654056e-05
       0         2947        23576           33    1.683079e-05
       0         2995        23960           33    1.677221e-05
       0         3043        24344           32    1.678538e-05
       0         3092        24736           32    1.681103e-05
       0         3142        25136           31    1.729223e-05
       0         3193        25544           31    1.744058e-05
       0         3245        25960           30    1.735100e-05
       0         3297        26376           30    1.858503e-05
       0         3350        26800           29    1.831728e-05
       0         3404        27232           29    1.803466e-05
       0         3459        27672           28    1.814561e-05
       0         3515        28120           28    1.823007e-05
       0         3572        28576           27    1.858907e-05
       0         3630        29040           27    1.848889e-05
       0         3689        29512           27    2.095278e-05
       0         3749        29992           26    1.946012e-05
       0         3810        30480           26    1.915800e-05
       0         3871        30968           25    1.917932e-05
       0         3933        31464           25    1.952600e-05
       0         3996        31968           25    1.952800e-05
       0         4060        32480           24    2.004567e-05
       0         4125        33000           24    2.009908e-05
       0         4192        33536           23    2.044243e-05
       0         4260        34080           23    2.040583e-05
       0         4329        34632           23    2.069813e-05
       0         4399        35192           22    2.122000e-05
       0         4470        35760           22    2.158114e-05
       0         4542        36336           22    2.116759e-05
       0         4615        36920           21    2.145376e-05
       0         4689        37512           21    2.184881e-05
       0         4765        38120           20    2.271630e-05
       0         4842        38736           20    2.286855e-05
       0         4920        39360           20    2.290965e-05
       0         4999        39992           20    2.292170e-05
       0         5080        40640           20    2.319070e-05
       0         5162        41296           20    2.355585e-05
       0         5245        41960           20    2.377980e-05
       0         5329        42632           20    2.369465e-05
       0         5415        43320           20    2.385645e-05
       0         5502        44016           20    2.471960e-05
       0         5591        44728           20    2.444105e-05
       0         5681        45448           20    2.480620e-05
       0         5772        46176           20    2.504665e-05
       0         5865        46920           20    2.577555e-05
       0         5959        47672           20    2.572645e-05
       0         6055        48440           20    2.593785e-05
       0         6152        49216           20    2.862240e-05
       0         6251        50008           20    2.685105e-05
       0         6352        50816           20    2.654200e-05
       0         6454        51632           20    2.688215e-05
       0         6558        52464           20    2.724330e-05
       0         6663        53304           20    2.740315e-05
       0         6770        54160           20    2.807790e-05
       0         6879        55032           20    2.807790e-05
       0         6990        55920           20    2.824870e-05
       0         7102        56816           20    2.871910e-05
       0         7216        57728           20    2.885535e-05
       0         7332        58656           20    2.916495e-05
       0         7450        59600           20    3.000355e-05
       0         7570        60560           20    2.990535e-05
       0         7692        61536           20    3.022745e-05
       0         7816        62528           20    3.032210e-05
       0         7942        63536           20    3.083110e-05
       0         8070        64560           20    3.113715e-05
       0         8200        65600           20    3.153140e-05
       0         8332        66656           20    3.191460e-05
       0         8466        67728           20    3.204185e-05
       0         8602        68816           20    3.232190e-05
       0         8740        69920           20    3.266855e-05
       0         8880        71040           20    3.335985e-05
       0         9023        72184           20    3.353765e-05
       0         9168        73344           20    3.417535e-05
       0         9315        74520           20    3.389540e-05
       0         9465        75720           20    3.464880e-05
       0         9617        76936           20    3.486270e-05
       0         9771        78168           20    3.530905e-05
       0         9928        79424           20    3.557755e-05
       0        10087        80696           20    3.640010e-05
       0        10249        81992           20    3.634750e-05
       0        10414        83312           20    3.983300e-05
       0        10581        84648           20    3.762040e-05
       0        10751        86008           20    3.777965e-05
       0        10924        87392           20    3.819545e-05
       0        11099        88792           20    3.837530e-05
       0        11277        90216           20    3.941930e-05
       0        11458        91664           20    3.949490e-05
       0        11642        93136           20    3.984205e-05
       0        11829        94632           20    4.038355e-05
       0        12019        96152           20    4.080290e-05
